2025-12-02 18:04:03,976 [INFO] ==== STARTING FUZZING RUN ====
2025-12-02 18:04:03,976 [INFO] === Fuzzing giveTimeStamp() ===
2025-12-02 18:04:03,976 [INFO] Iteration 0: OK giveTimeStamp() -> 2025-12-02 18:04:03
2025-12-02 18:04:03,976 [INFO] Iteration 1: OK giveTimeStamp() -> 2025-12-02 18:04:03
2025-12-02 18:04:03,976 [INFO] Iteration 2: OK giveTimeStamp() -> 2025-12-02 18:04:03
2025-12-02 18:04:03,976 [INFO] Iteration 3: OK giveTimeStamp() -> 2025-12-02 18:04:03
2025-12-02 18:04:03,976 [INFO] Iteration 4: OK giveTimeStamp() -> 2025-12-02 18:04:03
2025-12-02 18:04:03,976 [INFO] Iteration 5: OK giveTimeStamp() -> 2025-12-02 18:04:03
2025-12-02 18:04:03,976 [INFO] Iteration 6: OK giveTimeStamp() -> 2025-12-02 18:04:03
2025-12-02 18:04:03,976 [INFO] Iteration 7: OK giveTimeStamp() -> 2025-12-02 18:04:03
2025-12-02 18:04:03,976 [INFO] Iteration 8: OK giveTimeStamp() -> 2025-12-02 18:04:03
2025-12-02 18:04:03,976 [INFO] Iteration 9: OK giveTimeStamp() -> 2025-12-02 18:04:03
2025-12-02 18:04:03,976 [INFO] Iteration 10: OK giveTimeStamp() -> 2025-12-02 18:04:03
2025-12-02 18:04:03,976 [INFO] Iteration 11: OK giveTimeStamp() -> 2025-12-02 18:04:03
2025-12-02 18:04:03,976 [INFO] Iteration 12: OK giveTimeStamp() -> 2025-12-02 18:04:03
2025-12-02 18:04:03,976 [INFO] Iteration 13: OK giveTimeStamp() -> 2025-12-02 18:04:03
2025-12-02 18:04:03,976 [INFO] Iteration 14: OK giveTimeStamp() -> 2025-12-02 18:04:03
2025-12-02 18:04:03,976 [INFO] Iteration 15: OK giveTimeStamp() -> 2025-12-02 18:04:03
2025-12-02 18:04:03,976 [INFO] Iteration 16: OK giveTimeStamp() -> 2025-12-02 18:04:03
2025-12-02 18:04:03,976 [INFO] Iteration 17: OK giveTimeStamp() -> 2025-12-02 18:04:03
2025-12-02 18:04:03,976 [INFO] Iteration 18: OK giveTimeStamp() -> 2025-12-02 18:04:03
2025-12-02 18:04:03,976 [INFO] Iteration 19: OK giveTimeStamp() -> 2025-12-02 18:04:03
2025-12-02 18:04:03,976 [INFO] Iteration 20: OK giveTimeStamp() -> 2025-12-02 18:04:03
2025-12-02 18:04:03,976 [INFO] Iteration 21: OK giveTimeStamp() -> 2025-12-02 18:04:03
2025-12-02 18:04:03,976 [INFO] Iteration 22: OK giveTimeStamp() -> 2025-12-02 18:04:03
2025-12-02 18:04:03,976 [INFO] Iteration 23: OK giveTimeStamp() -> 2025-12-02 18:04:03
2025-12-02 18:04:03,976 [INFO] Iteration 24: OK giveTimeStamp() -> 2025-12-02 18:04:03
2025-12-02 18:04:03,980 [INFO] Iteration 25: OK giveTimeStamp() -> 2025-12-02 18:04:03
2025-12-02 18:04:03,980 [INFO] Iteration 26: OK giveTimeStamp() -> 2025-12-02 18:04:03
2025-12-02 18:04:03,980 [INFO] Iteration 27: OK giveTimeStamp() -> 2025-12-02 18:04:03
2025-12-02 18:04:03,980 [INFO] Iteration 28: OK giveTimeStamp() -> 2025-12-02 18:04:03
2025-12-02 18:04:03,980 [INFO] Iteration 29: OK giveTimeStamp() -> 2025-12-02 18:04:03
2025-12-02 18:04:03,980 [INFO] Iteration 30: OK giveTimeStamp() -> 2025-12-02 18:04:03
2025-12-02 18:04:03,980 [INFO] Iteration 31: OK giveTimeStamp() -> 2025-12-02 18:04:03
2025-12-02 18:04:03,980 [INFO] Iteration 32: OK giveTimeStamp() -> 2025-12-02 18:04:03
2025-12-02 18:04:03,980 [INFO] Iteration 33: OK giveTimeStamp() -> 2025-12-02 18:04:03
2025-12-02 18:04:03,980 [INFO] Iteration 34: OK giveTimeStamp() -> 2025-12-02 18:04:03
2025-12-02 18:04:03,980 [INFO] Iteration 35: OK giveTimeStamp() -> 2025-12-02 18:04:03
2025-12-02 18:04:03,980 [INFO] Iteration 36: OK giveTimeStamp() -> 2025-12-02 18:04:03
2025-12-02 18:04:03,980 [INFO] Iteration 37: OK giveTimeStamp() -> 2025-12-02 18:04:03
2025-12-02 18:04:03,980 [INFO] Iteration 38: OK giveTimeStamp() -> 2025-12-02 18:04:03
2025-12-02 18:04:03,980 [INFO] Iteration 39: OK giveTimeStamp() -> 2025-12-02 18:04:03
2025-12-02 18:04:03,980 [INFO] Iteration 40: OK giveTimeStamp() -> 2025-12-02 18:04:03
2025-12-02 18:04:03,980 [INFO] Iteration 41: OK giveTimeStamp() -> 2025-12-02 18:04:03
2025-12-02 18:04:03,980 [INFO] Iteration 42: OK giveTimeStamp() -> 2025-12-02 18:04:03
2025-12-02 18:04:03,980 [INFO] Iteration 43: OK giveTimeStamp() -> 2025-12-02 18:04:03
2025-12-02 18:04:03,980 [INFO] Iteration 44: OK giveTimeStamp() -> 2025-12-02 18:04:03
2025-12-02 18:04:03,980 [INFO] Iteration 45: OK giveTimeStamp() -> 2025-12-02 18:04:03
2025-12-02 18:04:03,980 [INFO] Iteration 46: OK giveTimeStamp() -> 2025-12-02 18:04:03
2025-12-02 18:04:03,980 [INFO] Iteration 47: OK giveTimeStamp() -> 2025-12-02 18:04:03
2025-12-02 18:04:03,981 [INFO] Iteration 48: OK giveTimeStamp() -> 2025-12-02 18:04:03
2025-12-02 18:04:03,981 [INFO] Iteration 49: OK giveTimeStamp() -> 2025-12-02 18:04:03
2025-12-02 18:04:03,981 [INFO] === Fuzzing dumpContentIntoFile(strP, fileP) ===
2025-12-02 18:04:03,981 [INFO] Iteration 0: dumpContentIntoFile -> returned=214, actual=214
2025-12-02 18:04:03,981 [INFO] Iteration 1: dumpContentIntoFile -> returned=3, actual=3
2025-12-02 18:04:03,982 [INFO] Iteration 2: dumpContentIntoFile -> returned=300, actual=300
2025-12-02 18:04:03,982 [INFO] Iteration 3: dumpContentIntoFile -> returned=268, actual=268
2025-12-02 18:04:03,983 [INFO] Iteration 4: dumpContentIntoFile -> returned=211, actual=211
2025-12-02 18:04:03,983 [INFO] Iteration 5: dumpContentIntoFile -> returned=303, actual=303
2025-12-02 18:04:03,983 [INFO] Iteration 6: dumpContentIntoFile -> returned=190, actual=190
2025-12-02 18:04:03,984 [INFO] Iteration 7: dumpContentIntoFile -> returned=319, actual=319
2025-12-02 18:04:03,984 [INFO] Iteration 8: dumpContentIntoFile -> returned=437, actual=437
2025-12-02 18:04:03,985 [INFO] Iteration 9: dumpContentIntoFile -> returned=96, actual=96
2025-12-02 18:04:03,985 [INFO] Iteration 10: dumpContentIntoFile -> returned=370, actual=370
2025-12-02 18:04:03,985 [INFO] Iteration 11: dumpContentIntoFile -> returned=248, actual=248
2025-12-02 18:04:03,987 [INFO] Iteration 12: dumpContentIntoFile -> returned=197, actual=197
2025-12-02 18:04:03,987 [INFO] Iteration 13: dumpContentIntoFile -> returned=425, actual=425
2025-12-02 18:04:03,987 [INFO] Iteration 14: dumpContentIntoFile -> returned=186, actual=186
2025-12-02 18:04:03,988 [INFO] Iteration 15: dumpContentIntoFile -> returned=213, actual=213
2025-12-02 18:04:03,988 [INFO] Iteration 16: dumpContentIntoFile -> returned=94, actual=94
2025-12-02 18:04:03,988 [INFO] Iteration 17: dumpContentIntoFile -> returned=424, actual=424
2025-12-02 18:04:03,988 [INFO] Iteration 18: dumpContentIntoFile -> returned=427, actual=427
2025-12-02 18:04:03,988 [INFO] Iteration 19: dumpContentIntoFile -> returned=326, actual=326
2025-12-02 18:04:03,988 [INFO] Iteration 20: dumpContentIntoFile -> returned=456, actual=456
2025-12-02 18:04:03,988 [INFO] Iteration 21: dumpContentIntoFile -> returned=231, actual=231
2025-12-02 18:04:03,991 [INFO] Iteration 22: dumpContentIntoFile -> returned=105, actual=105
2025-12-02 18:04:03,991 [INFO] Iteration 23: dumpContentIntoFile -> returned=150, actual=150
2025-12-02 18:04:03,992 [INFO] Iteration 24: dumpContentIntoFile -> returned=470, actual=470
2025-12-02 18:04:03,992 [INFO] Iteration 25: dumpContentIntoFile -> returned=12, actual=12
2025-12-02 18:04:03,992 [INFO] Iteration 26: dumpContentIntoFile -> returned=450, actual=450
2025-12-02 18:04:03,993 [INFO] Iteration 27: dumpContentIntoFile -> returned=449, actual=449
2025-12-02 18:04:03,994 [INFO] Iteration 28: dumpContentIntoFile -> returned=14, actual=14
2025-12-02 18:04:03,994 [INFO] Iteration 29: dumpContentIntoFile -> returned=324, actual=324
2025-12-02 18:04:03,994 [INFO] Iteration 30: dumpContentIntoFile -> returned=94, actual=94
2025-12-02 18:04:03,994 [INFO] Iteration 31: dumpContentIntoFile -> returned=193, actual=193
2025-12-02 18:04:03,994 [INFO] Iteration 32: dumpContentIntoFile -> returned=346, actual=346
2025-12-02 18:04:03,994 [INFO] Iteration 33: dumpContentIntoFile -> returned=497, actual=497
2025-12-02 18:04:03,996 [INFO] Iteration 34: dumpContentIntoFile -> returned=352, actual=352
2025-12-02 18:04:03,996 [INFO] Iteration 35: dumpContentIntoFile -> returned=494, actual=494
2025-12-02 18:04:03,996 [INFO] Iteration 36: dumpContentIntoFile -> returned=488, actual=488
2025-12-02 18:04:03,996 [INFO] Iteration 37: dumpContentIntoFile -> returned=151, actual=151
2025-12-02 18:04:03,996 [INFO] Iteration 38: dumpContentIntoFile -> returned=330, actual=330
2025-12-02 18:04:03,999 [INFO] Iteration 39: dumpContentIntoFile -> returned=424, actual=424
2025-12-02 18:04:03,999 [INFO] Iteration 40: dumpContentIntoFile -> returned=284, actual=284
2025-12-02 18:04:04,000 [INFO] Iteration 41: dumpContentIntoFile -> returned=112, actual=112
2025-12-02 18:04:04,000 [INFO] Iteration 42: dumpContentIntoFile -> returned=306, actual=306
2025-12-02 18:04:04,001 [INFO] Iteration 43: dumpContentIntoFile -> returned=73, actual=73
2025-12-02 18:04:04,001 [INFO] Iteration 44: dumpContentIntoFile -> returned=315, actual=315
2025-12-02 18:04:04,001 [INFO] Iteration 45: dumpContentIntoFile -> returned=166, actual=166
2025-12-02 18:04:04,002 [INFO] Iteration 46: dumpContentIntoFile -> returned=166, actual=166
2025-12-02 18:04:04,002 [INFO] Iteration 47: dumpContentIntoFile -> returned=344, actual=344
2025-12-02 18:04:04,003 [INFO] Iteration 48: dumpContentIntoFile -> returned=56, actual=56
2025-12-02 18:04:04,003 [INFO] Iteration 49: dumpContentIntoFile -> returned=73, actual=73
2025-12-02 18:04:04,003 [INFO] === Fuzzing deleteRepo(dirName, type_) ===
2025-12-02 18:04:04,004 [INFO] Iteration 0: deleteRepo('C:\\Users\\kolli\\OneDrive\\Documents\\project\\RiteshPiyush-FALL2025-SQA\\MLForensics-farzana\\fuzz_tmp\\dir_0', 'TEST') -> exists_after=False
